IDX,NORMAN_SusDat_ID,DTXSID,concentration_value,concentration_unit,time_point,IDX_l,station_water_combined,lat,lon,station_name_n,country,water_body_name_n,river_basin_name_n,COORDS,EARTH,EUROPE,MARINE,DETECTED,AGGREGATED,DTXSID_AVAILABLE
66387,NS00000207,DTXSID4022731,0.00007,mg/l,2006-10-25T00:00:00Z,974,lobith 860_rhine,,,lobith 860,Netherlands,rhine,rhine,False,False,False,False,True,False,True
85536,NS00008865,DTXSID7020182,0,mg/l,2009-08-26T00:00:00Z,1001,cadca pod ciernanka rkm 08 danube sk_ciernanka,49.4477653069,18.7797506908,cadca pod ciernanka rkm 08 danube sk,Slovakia,ciernanka,danube,True,True,True,False,False,False,True
68877,NS00000212,DTXSID6022923,0,mg/l,2010-03-08T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,False,False,True
70340,NS00000285,DTXSID2029874,0,mg/l,2008-07-29T00:00:00Z,976,nieuwersluis_rhine,,,nieuwersluis,Netherlands,rhine,rhine,False,False,False,False,False,False,True
84244,NS00004478,DTXSID1058680,0,mg/l,2009-09-08T00:00:00Z,1093,zubak pod_zubak,49.1444443769,18.2353055684,zubak pod,Slovakia,zubak,danube,True,True,True,False,False,False,True
70116,NS00000285,DTXSID2029874,0,mg/l,2009-01-12T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,False,False,True
62605,NS00000378,DTXSID3021196,0,mg/l,2008-06-03T00:00:00Z,976,nieuwersluis_rhine,,,nieuwersluis,Netherlands,rhine,rhine,False,False,False,False,False,False,True
83725,NS00004478,DTXSID1058680,0,mg/l,2009-06-09T00:00:00Z,1071,slovenska lupca nad pribojom_hron,48.7542806048,19.2640944649,slovenska lupca nad pribojom,Slovakia,hron,danube,True,True,True,False,False,False,True
82785,NS00004478,DTXSID1058680,0,mg/l,2009-04-01T00:00:00Z,1031,liptovsky hradok_bela,49.0377127503,19.7139527496,liptovsky hradok,Slovakia,bela,danube,True,True,True,False,False,False,True
86479,NS00008865,DTXSID7020182,0,mg/l,2009-09-09T00:00:00Z,1080,ustie_olsava 2,49.0148055725,19.8116111575,ustie,Slovakia,cierny vah,danube,True,True,True,False,False,False,True
70716,NS00000500,DTXSID7020265,0,mg/l,2006-06-06T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,False,False,True
81722,NS00005486,DTXSID4058601,0.00000012,mg/l,2009-08-04T00:00:00Z,1081,ustie_stiavnica 2,49.0148055725,19.8116111575,ustie,Slovakia,cierny vah,danube,True,True,True,False,True,False,True
86434,NS00008865,DTXSID7020182,0,mg/l,2009-11-18T00:00:00Z,1076,trstena nad_oravica,49.3638333169,19.6289443993,trstena nad,Slovakia,oravica,danube,True,True,True,False,False,False,True
79150,NS00000224,DTXSID7037680,0,mg/l,,983,t16 segre torres segre_segre,,,t16 segre torres segre,Spain,segre,ebro,False,False,False,False,False,False,True
88243,NS00000251,DTXSID8052853,0,mg/l,2009-10-21T00:00:00Z,1027,lehota nad rimavicou_rimavica,48.5139443877,19.9084693405,lehota nad rimavicou,Slovakia,rimavica,danube,True,True,True,False,False,False,True
79119,NS00000506,DTXSID5022984,0,mg/l,,982,r14 ebro presa de pina_ebro,,,r14 ebro presa de pina,Spain,ebro,ebro,False,False,False,False,False,False,True
66557,NS00000207,DTXSID4022731,0,mg/l,2002-04-01T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
68344,NS00000683,DTXSID4020371,0,mg/l,2007-04-11T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
80235,NS00000287,DTXSID6021117,0.0000125,mg/l,,981,pamplona downstream_arga,42.814444,0.748333,pamplona downstream,Spain,arga,ebro,True,True,True,False,True,False,True
81906,NS00004478,DTXSID1058680,0,mg/l,2009-07-14T00:00:00Z,994,behynce turiec 2 rkm 16 danube sk_turiec 2,48.4171441957,20.2916686469,behynce turiec 2 rkm 16 danube sk,Slovakia,turiec,danube,True,True,True,False,False,False,True
65355,NS00000204,DTXSID8030760,0,mg/l,2007-08-27T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,False,False,True
88220,NS00000251,DTXSID8052853,0,mg/l,2009-10-15T00:00:00Z,1025,krusovce_bebrava,48.5972596696,18.2310021272,krusovce,Slovakia,bebrava,danube,True,True,True,False,False,False,True
65006,NS00075580,DTXSID8022377,0,mg/l,2007-01-16T00:00:00Z,976,nieuwersluis_rhine,,,nieuwersluis,Netherlands,rhine,rhine,False,False,False,False,False,False,True
62190,NS00000378,DTXSID3021196,0,mg/l,2001-10-31T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,False,False,True
63589,NS00000258,DTXSID4027608,0,mg/l,2009-12-14T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,False,False,True
75992,NS00000505,DTXSID6045402,0,mg/l,2006-04-12T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
86013,NS00008865,DTXSID7020182,0,mg/l,2009-08-05T00:00:00Z,1040,mnisek pod_hnilec,48.7996666626,20.7908888276,mnisek pod,Slovakia,hnilec,danube,True,True,True,False,False,False,True
76880,NS00000268,DTXSID8026064,0.00002,mg/l,2008-03-10T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,True,False,True
72574,NS00000229,DTXSID1023158,0.0001,mg/l,2004-12-07T00:00:00Z,976,nieuwersluis_rhine,,,nieuwersluis,Netherlands,rhine,rhine,False,False,False,False,True,False,True
76096,NS00000505,DTXSID6045402,0,mg/l,2009-06-30T00:00:00Z,976,nieuwersluis_rhine,,,nieuwersluis,Netherlands,rhine,rhine,False,False,False,False,False,False,True
60934,NS00000528,DTXSID7021100,0,mg/l,2005-10-26T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
63920,NS00000258,DTXSID4027608,0,mg/l,2007-09-25T00:00:00Z,976,nieuwersluis_rhine,,,nieuwersluis,Netherlands,rhine,rhine,False,False,False,False,False,False,True
70057,NS00000285,DTXSID2029874,0,mg/l,2004-11-22T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,False,False,True
78716,NS00010496,DTXSID0020523,0,mg/l,2005-01-19T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
60170,NS00001649,DTXSID2032683,0,mg/l,2003-11-24T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
64173,NS00000190,DTXSID0034776,0,mg/l,2009-06-03T00:00:00Z,974,lobith 860_rhine,,,lobith 860,Netherlands,rhine,rhine,False,False,False,False,False,False,True
77284,NS00000009,DTXSID2046701,0,mg/l,2009-08-24T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,False,False,True
84332,NS00010095,DTXSID2021781,0,mg/l,2009-04-28T00:00:00Z,1000,bukova trnavka 2 rkm 342 danube sk_trnavka 2,48.5352853408,17.4441236914,bukova trnavka 2 rkm 342 danube sk,Slovakia,trnavka,danube,True,True,True,False,False,False,True
84417,NS00010095,DTXSID2021781,0,mg/l,2009-12-15T00:00:00Z,1006,driencany blh rkm 263 danube sk_blh,48.4833392824,20.0750559404,driencany blh rkm 263 danube sk,Slovakia,blh,danube,True,True,True,False,False,False,True
67368,NS00098550,DTXSID3022829,0,mg/l,2004-08-04T00:00:00Z,974,lobith 860_rhine,,,lobith 860,Netherlands,rhine,rhine,False,False,False,False,False,False,True
64761,NS00000710,DTXSID5024344,0,mg/l,2010-01-12T00:00:00Z,976,nieuwersluis_rhine,,,nieuwersluis,Netherlands,rhine,rhine,False,False,False,False,False,False,True
68844,NS00000212,DTXSID6022923,0,mg/l,2007-10-22T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,False,False,True
66542,NS00000207,DTXSID4022731,0.00011,mg/l,2002-01-18T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,True,False,True
65225,NS00000689,DTXSID4022602,0,mg/l,2002-01-23T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
81862,NS00005486,DTXSID4058601,0,mg/l,2009-06-15T00:00:00Z,1093,zubak pod_zubak,49.1444443769,18.2353055684,zubak pod,Slovakia,zubak,danube,True,True,True,False,False,False,True
87309,NS00008895,DTXSID3034872,0,mg/l,2009-10-15T00:00:00Z,1049,nemecky_chotina,48.6699068599,18.1161199059,nemecky,Slovakia,chotina,danube,True,True,True,False,False,False,True
71096,NS00000214,DTXSID9048724,0.00002,mg/l,2004-12-22T00:00:00Z,974,lobith 860_rhine,,,lobith 860,Netherlands,rhine,rhine,False,False,False,False,True,False,True
64527,NS00009440,DTXSID3023897,0,mg/l,2006-05-10T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
80196,NS00000420,DTXSID6023498,0.0000045,mg/l,,978,r4 ebro en haro_ebro,,,r4 ebro en haro,Spain,ebro,ebro,False,False,False,False,True,False,True
78992,NS00010271,DTXSID1021952,0,mg/l,2008-12-17T00:00:00Z,974,lobith 860_rhine,,,lobith 860,Netherlands,rhine,rhine,False,False,False,False,False,False,True
77975,NS00000202,DTXSID3043996,0,mg/l,2002-12-06T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
68122,NS00000339,DTXSID5020364,0,mg/l,2006-09-26T00:00:00Z,976,nieuwersluis_rhine,,,nieuwersluis,Netherlands,rhine,rhine,False,False,False,False,False,False,True
74093,NS00000572,DTXSID8023397,0,mg/l,2009-07-27T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,False,False,True
86007,NS00008865,DTXSID7020182,0,mg/l,2009-06-02T00:00:00Z,1040,mnisek pod_hnilec,48.7996666626,20.7908888276,mnisek pod,Slovakia,hnilec,danube,True,True,True,False,False,False,True
60716,NS00000528,DTXSID7021100,0,mg/l,2007-01-15T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,False,False,True
70159,NS00000285,DTXSID2029874,0,mg/l,2005-05-11T00:00:00Z,974,lobith 860_rhine,,,lobith 860,Netherlands,rhine,rhine,False,False,False,False,False,False,True
77946,NS00000202,DTXSID3043996,0,mg/l,2005-08-03T00:00:00Z,974,lobith 860_rhine,,,lobith 860,Netherlands,rhine,rhine,False,False,False,False,False,False,True
71698,NS00000217,DTXSID9020740,0,mg/l,2009-12-14T00:00:00Z,976,nieuwersluis_rhine,,,nieuwersluis,Netherlands,rhine,rhine,False,False,False,False,False,False,True
