IDX,NORMAN_SusDat_ID,DTXSID,concentration_value,concentration_unit,time_point,IDX_l,station_water_combined,lat,lon,station_name_n,country,water_body_name_n,river_basin_name_n,COORDS,EARTH,EUROPE,MARINE,DETECTED,AGGREGATED,DTXSID_AVAILABLE
1014412,NS00000247,DTXSID0020442,0,mg/l,2011-10-20T00:00:00Z,1731,saintthibaultdesvignes 1_la gondoire,48.8613729033333,2.67197701694444,saintthibaultdesvignes 1,France,la gondoire,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
390932,NS00001502,DTXSID0024761,0,mg/l,2010-09-07T00:00:00Z,1531,epagne 1_laube,48.3917891586111,4.46143273305556,epagne 1,France,laube,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
159026,NS00008266,DTXSID9020407,0,mg/l,2008-04-21T00:00:00Z,1298,isere a saint sauveur_NA,835522,2018284,isere a saint sauveur,France,isere,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1025621,NS00000384,DTXSID7020479,0,mg/l,2011-07-28T00:00:00Z,2147,mezymoulins 1_le surmelin,49.0594545272222,3.51592928277778,mezymoulins 1,France,le surmelin,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
4969,NS00010299,DTXSID4022367,0,mg/l,2004-01-10T00:00:00Z,75,trnavka modranka_trnavka,NA,NA,trnavka modranka,Slovakia,trnavka,danube,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
997900,NS00000276,DTXSID3024318,0,mg/l,2011-03-16T00:00:00Z,1719,pierry 2_le cubry,49.0223352241667,3.94818632333333,pierry 2,France,le cubry,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
434258,NS00000258,DTXSID4027608,0,mg/l,2010-09-06T00:00:00Z,1601,conflanssurloing 1_le loing,47.9476755761111,2.78615766416667,conflanssurloing 1,France,le loing,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
493315,NS00002157,DTXSID5021544,0,mg/l,2010-07-26T00:00:00Z,1698,stainville 1_la saulx,48.6552136516667,5.18808731222222,stainville 1,France,la saulx,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
252587,NS00009161,DTXSID5037498,0,mg/l,2002-10-22T00:00:00Z,1424,NA_benedenschelde,141720,227304,NA,NA,schelde,scheldt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
575645,NS00000253,DTXSID4024018,0,mg/l,2010-05-10T00:00:00Z,1821,saintemenehould 1_lauve,49.0796842536111,4.88647598527778,saintemenehould 1,France,lauve,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
212816,NS00001740,DTXSID4020791,0,mg/l,2003-11-18T00:00:00Z,1410,schelde ringvaart_NA,112369.777777778,184846.111111111,schelde ringvaart,Belgium,scheldt,scheldt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
213190,NS00001740,DTXSID4020791,0,mg/l,2003-09-24T00:00:00Z,1465,itterbeek_NA,163172,200046,itterbeek,Belgium,scheldt,scheldt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
433126,NS00010268,DTXSID3022455,0,mg/l,2010-09-15T00:00:00Z,1599,moisenay 1_le ru dancoeuil,48.5588805513889,2.74099100805556,moisenay 1,France,le ru dancoeuil,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
722661,NS00000277,DTXSID9024194,0,mg/l,2010-08-10T00:00:00Z,2044,picauville 2_la douve,49.3589827538889,1.36941744777778,picauville 2,France,la douve,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
602404,NS00010188,DTXSID0021389,0,mg/l,2010-03-24T00:00:00Z,1859,taissy 2_la vesle,49.2155139113889,4.09531347861111,taissy 2,France,la vesle,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
99582,NS00010820,DTXSID2021284,0,mg/l,2009-07-27T00:00:00Z,1067,rakova_kysuca,49.4372221792,18.7243611418,rakova,Slovakia,kysuca,danube,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
423440,NS00009297,DTXSID7041883,0,mg/l,2010-08-12T00:00:00Z,1582,darcey 1_loze,47.534646295,4.5397393825,darcey 1,France,loze,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
561064,NS00000246,DTXSID4022020,0,mg/l,2010-10-13T00:00:00Z,1799,persan 1_lesches,49.1450402952778,2.27139137416667,persan 1,France,lesches,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
