DTXSID,tox_value_mg_L,tox_S_AD,tox_stat,tox_source,species,tox_reliability,neutral_fraction_jchem,tox_source_origin
DTXSID00199862,3.684,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID00199862,1611,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID00199862,9.776,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID00199862,34.69,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID00199862,4299,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID00199862,0.01097,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID00199862,4.031,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID00199862,8940,3,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID00199862,0.006921,3,qsar,BOL,fish,NA,1,BOL
DTXSID0020022,0.4502,3,qsar,IRFMN,algae,NA,0.001,IRFMN
DTXSID0020022,7.468,3,qsar,ECOSAR_BASELINE,algae,NA,0.001,ECOSAR_BASELINE
DTXSID0020022,0.00361,3,qsar,VAN_LEEUWEN,algae,NA,0.001,VAN_LEEUWEN
DTXSID0020022,20.03,3,geomean,ecotox,crustacean,NA,0.001,ecotox
DTXSID0020022,20.03,3,quantile,ecotox,crustacean,NA,0.001,ecotox
DTXSID0020022,0.2175,3,qsar,IRFMN,crustacean,NA,0.001,IRFMN
DTXSID0020022,5.101,3,qsar,ECOSAR_BASELINE,crustacean,NA,0.001,ECOSAR_BASELINE
DTXSID0020022,0.000006109,3,qsar,BOL,crustacean,NA,0.001,BOL
DTXSID0020022,83,3,geomean,ecotox,fish,NA,0.001,ecotox
DTXSID0020022,83,3,quantile,ecotox,fish,NA,0.001,ecotox
DTXSID0020022,1.068,3,qsar,IRFMN,fish,NA,0.001,IRFMN
DTXSID0020022,7.629,3,qsar,ECOSAR_BASELINE,fish,NA,0.001,ECOSAR_BASELINE
DTXSID0020022,0.00000877,3,qsar,BOL,fish,NA,0.001,BOL
DTXSID0020074,16.85,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID0020074,15490,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID0020074,311.4,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID0020074,24.74,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID0020074,78800,2,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID0020074,0.2876,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID0020074,42.57,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID0020074,191600,2,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID0020074,0.123,3,qsar,BOL,fish,NA,1,BOL
DTXSID0020076,39.69,3,geomean,ecotox,algae,NA,1,ecotox
DTXSID0020076,10,3,quantile,ecotox,algae,NA,1,ecotox
DTXSID0020076,19.47,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID0020076,4791,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID0020076,78.43,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
